category,item,planned_checks,status,attempted,successful,operation_ids,blocker
noun,humidity,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,precipitation,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,radiation,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,temperature,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,vpd,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,wind,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,surface_reflectance,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,vegetation_index,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,elevation,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,roads,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun,streamflow,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun_source,humidity/gridmet,small valid retrieval; source identity; available-source comparison,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun_source,precipitation/gridmet,small valid retrieval; source identity; available-source comparison,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun_source,precipitation/prism,small valid retrieval; source identity; available-source comparison,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun_source,radiation/gridmet,small valid retrieval; source identity; available-source comparison,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun_source,temperature/gridmet,small valid retrieval; source identity; available-source comparison,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun_source,temperature/prism,small valid retrieval; source identity; available-source comparison,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun_source,vpd/gridmet,small valid retrieval; source identity; available-source comparison,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun_source,wind/gridmet,small valid retrieval; source identity; available-source comparison,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
noun_source,surface_reflectance/sentinel2,small valid retrieval; source identity; available-source comparison,not_attempted,False,False,,CubeDynamics unavailable after Phase A installation attempt
